TIME,CHAN1
1105.0,0.296875
1107.5,0.30625
1110.0,0.296875
1112.5,0.30625
1115.0,0.30625
1117.5,0.296875
1120.0,0.30625
1122.5,0.296875
1125.0,0.30625
1127.5,-0.003125
1130.0,0.00625
1132.5,-0.003125
1135.0,-0.003125
1137.5,0.003125
1140.0,0.003125
1142.5,-0.00625
1145.0,0.00625
1147.5,-0.00625
1150.0,-0.003125
1152.5,0.303125
1155.0,0.296875
1157.5,0.30625
1160.0,0.296875
1162.5,0.30625
1165.0,0.30625
1167.5,0.296875
1170.0,0.30625
1172.5,0.296875
1175.0,0.30625
1177.5,-0.003125
1180.0,-0.003125
1182.5,0.00625
1185.0,-0.003125
1187.5,0.00625
1190.0,0.003125
1192.5,-0.00625
1195.0,0.003125
1197.5,-0.00625
1200.0,-0.00625
1202.5,0.303125
1205.0,0.296875
1207.5,0.30625
1210.0,0.30625
1212.5,0.296875
1215.0,0.296875
1217.5,0.30625
1220.0,0.30625
1222.5,0.296875
1225.0,0.30625
1227.5,-0.003125
1230.0,-0.003125
1232.5,0.00625
1235.0,0.003125
1237.5,-0.003125
1240.0,-0.003125
1242.5,0.003125
1245.0,0.003125
1247.5,-0.003125
1250.0,-0.00625
1252.5,0.30625
1255.0,0.296875
1257.5,0.30625
1260.0,0.296875
1262.5,0.309375
1265.0,0.30625
1267.5,0.296875
1270.0,0.3
1272.5,0.30625
1275.0,0.30625
1277.5,-0.003125
1280.0,-0.003125
1282.5,0.00625
1285.0,-0.003125
1287.5,0.00625
1290.0,0.003125
1292.5,-0.00625
1295.0,0.003125
1297.5,-0.003125
1300.0,-0.00625
1302.5,0.30625
1305.0,0.296875
1307.5,0.30625
1310.0,0.296875
1312.5,0.30625
1315.0,0.30625
1317.5,0.296875
1320.0,0.30625
1322.5,0.296875
1325.0,0.30625
1327.5,-0.003125
1330.0,-0.003125
1332.5,0.00625
1335.0,-0.003125
1337.5,0.00625
1340.0,-0.003125
1342.5,0.00625
1345.0,0.003125
1347.5,-0.00625
1350.0,-0.00625
1352.5,0.30625
1355.0,0.296875
1357.5,0.30625
1360.0,0.296875
1362.5,0.30625
1365.0,0.30625
1367.5,0.296875
1370.0,0.30625
1372.5,0.296875
1375.0,0.30625
1377.5,-0.003125
1380.0,0.00625
1382.5,-0.003125
1385.0,-0.003125
1387.5,0.00625
1390.0,-0.003125
1392.5,0.003125
1395.0,-0.003125
1397.5,0.003125
1400.0,-0.00625
1402.5,0.303125
1405.0,0.296875
1407.5,0.30625
1410.0,0.296875
1412.5,0.30625
1415.0,0.30625
1417.5,0.296875
1420.0,0.30625
1422.5,0.296875
1425.0,0.30625
1427.5,-0.003125
1430.0,0.00625
1432.5,-0.003125
1435.0,0.003125
1437.5,-0.003125
1440.0,-0.003125
1442.5,0.00625
1445.0,0.003125
1447.5,-0.00625
1450.0,-0.00625
1452.5,0.303125
1455.0,0.296875
1457.5,0.30625
1460.0,0.30625
1462.5,0.296875
1465.0,0.30625
1467.5,0.296875
1470.0,0.30625
1472.5,0.296875
1475.0,0.30625
1477.5,-0.003125
1480.0,-0.003125
1482.5,0.00625
1485.0,-0.003125
1487.5,0.00625
1490.0,-0.003125
1492.5,0.00625
1495.0,0.003125
1497.5,-0.00625
1500.0,-0.003125
1502.5,0.30625
